Id,SalePrice
1461,135500
1462,165000
1463,180000
1464,230000
1465,286000
1466,181000
1467,201000
1468,195000
1469,175000
1470,129000
1471,207500
1472,219500
1473,106000
1474,148500
1475,146000
1476,250000
1477,256300
1478,318000
1479,250000
1480,315000
1481,255000
1482,202500
1483,181000
1484,213490
1485,230000
1486,183500
1487,280000
1488,174000
1489,250580
1490,185000
1491,317000
1492,132000
1493,232000
1494,154000
1495,236000
1496,196000
1497,197000
1498,173733
1499,177500
1500,173733
1501,146000
1502,199900
1503,262500
1504,189000
1505,207500
1506,190000
1507,260000
1508,143000
1509,179900
1510,145250
1511,157000
1512,159000
1513,140000
1514,136500
1515,160000
1516,225000
1517,148000
1518,124000
1519,220000
1520,153000
1521,190000
1522,159000
1523,135000
1524,120500
1525,152000
1526,80000
1527,110000
1528,105000
1529,154000
1530,129000
1531,139000
1532,115000
1533,130000
1534,117000
1535,159000
1536,115000
1537,100000
1538,132000
1539,161000
1540,130000
1541,112000
1542,117000
1543,188700
1544,115000
1545,119000
1546,126000
1547,88000
1548,105000
1549,136900
1550,126000
1551,132000
1552,135000
1553,136000
1554,140000
1555,192000
1556,98000
1557,136500
1558,159434
1559,160000
1560,145000
1561,80000
1562,153000
1563,129500
1564,171000
1565,154000
1566,82500
1567,134900
1568,222500
1569,129000
1570,119000
1571,114500
1572,129000
1573,136500
1574,102000
1575,170000
1576,325000
1577,230000
1578,239000
1579,145000
1580,192000
1581,147500
1582,120500
1583,305900
1584,192000
1585,131500
1586,115000
1587,132000
1588,157000
1589,135000
1590,132500
1591,96500
1592,87000
1593,119900
1594,107500
1595,160000
1596,172500
1597,118000
1598,230000
1599,236500
1600,236500
1601,125000
1602,163000
1603,132000
1604,275000
1605,210000
1606,149900
1607,136500
1608,377426
1609,250580
1610,202900
1611,140000
1612,178000
1613,108000
1614,133000
1615,127000
1616,112000
1617,88000
1618,124500
1619,139400
1620,174000
1621,129500
1622,104900
1623,134000
1624,226000
1625,128500
1626,139000
1627,215000
1628,222500
1629,168500
1630,187500
1631,187500
1632,324000
1633,180000
1634,185000
1635,188000
1636,213000
1637,235000
1638,179000
1639,165000
1640,205000
1641,135000
1642,335000
1643,179900
1644,228000
1645,250000
1646,149500
1647,175000
1648,124000
1649,145500
1650,129000
1651,124500
1652,100000
1653,88000
1654,148500
1655,128000
1656,128000
1657,148500
1658,148500
1659,165000
1660,213000
1661,315000
1662,147000
1663,315000
1664,466500
1665,318000
1666,326000
1667,310000
1668,395192
1669,395192
1670,320000
1671,204000
1672,255000
1673,281000
1674,255500
1675,196000
1676,196000
1677,224000
1678,220000
1679,325000
1680,274000
1681,174000
1682,326000
1683,174000
1684,181000
1685,213500
1686,213490
1687,178000
1688,195000
1689,215000
1690,193000
1691,189000
1692,211000
1693,154000
1694,193000
1695,177000
1696,272000
1697,186500
1698,236000
1699,232000
1700,200000
1701,271000
1702,232000
1703,232000
1704,227000
1705,215000
1706,315000
1707,250580
1708,187750
1709,250000
1710,227000
1711,310000
1712,256300
1713,207500
1714,207500
1715,233000
1716,107900
1717,143500
1718,103200
1719,325000
1720,232000
1721,105900
1722,103200
1723,155000
1724,235128
1725,340000
1726,268000
1727,170000
1728,154000
1729,158000
1730,90000
1731,107000
1732,142000
1733,135000
1734,142500
1735,130500
1736,143000
1737,262500
1738,290000
1739,171900
1740,264132
1741,220000
1742,183900
1743,183900
1744,262500
1745,154500
1746,270000
1747,207500
1748,171000
1749,147000
1750,135000
1751,190000
1752,135000
1753,108000
1754,287000
1755,148000
1756,135000
1757,129500
1758,157000
1759,155000
1760,129000
1761,142000
1762,196500
1763,124500
1764,140000
1765,124000
1766,190000
1767,205000
1768,82500
1769,153000
1770,82500
1771,85000
1772,112500
1773,85000
1774,125000
1775,157000
1776,112500
1777,80000
1778,140000
1779,98000
1780,79000
1781,82500
1782,115000
1783,140000
1784,112000
1785,135000
1786,115000
1787,107400
1788,93000
1789,64500
1790,110000
1791,197900
1792,135000
1793,138000
1794,153000
1795,152000
1796,242000
1797,119900
1798,185750
1799,130000
1800,133000
1801,109000
1802,118500
1803,197900
1804,165500
1805,157000
1806,115000
1807,157500
1808,115000
1809,112000
1810,155000
1811,55000
1812,85000
1813,109000
1814,110000
1815,82000
1816,93000
1817,125500
1818,147000
1819,170000
1820,108000
1821,115000
1822,135000
1823,85000
1824,124000
1825,219500
1826,149000
1827,119000
1828,105000
1829,100000
1830,115000
1831,161000
1832,113000
1833,155000
1834,159500
1835,160000
1836,152000
1837,85000
1838,140000
1839,142000
1840,179000
1841,125000
1842,115000
1843,110000
1844,137000
1845,151000
1846,163000
1847,178000
1848,93000
1849,72500
1850,113000
1851,177500
1852,82500
1853,172500
1854,173000
1855,170000
1856,189000
1857,112000
1858,142953
1859,118964
1860,153337
1861,118964
1862,215000
1863,165000
1864,165000
1865,297000
1866,230000
1867,194000
1868,297000
1869,235000
1870,204000
1871,192000
1872,179540
1873,240000
1874,156000
1875,192000
1876,219500
1877,230000
1878,192000
1879,128500
1880,143000
1881,259000
1882,222500
1883,173900
1884,240000
1885,203000
1886,305900
1887,235000
1888,235000
1889,191000
1890,180000
1891,130000
1892,112500
1893,128000
1894,127500
1895,118000
1896,145000
1897,220000
1898,108000
1899,137500
1900,127500
1901,138000
1902,190000
1903,159500
1904,154000
1905,240000
1906,160000
1907,154000
1908,234000
